Q (m3/s),Qs (l/s),Qs(m3/s)
30.2,2.62,0.00262
36.3,3.67,0.00367
47,4.71,0.00471
62.5,7.59,0.00759
84.9,12.6,0.0126
103,16.2,0.0162
124,22.8,0.0228
140,27.8,0.0278
154,32.7,0.0327
168,38.5,0.0385
179,42.2,0.0422
192,47.1,0.0471
204,52.1,0.0521
217,57.6,0.0576
230,63.6,0.0636
241,68.3,0.0683
254,74.9,0.0749
266,81.4,0.0814
281,88.8,0.0888
290,93,0.093
302,99.5,0.0995
315,106,0.106
326,112,0.112
335,118,0.118
346,125,0.125
359,133,0.133
372,141,0.141
389,151,0.151
403,160,0.16
414,168,0.168
422,172,0.172
427,175,0.175
