run_code,run_set,Q [l/s],disch label,Exner time [min],,,,,,,,,
q05rgm4,q05_1,0.5,Q = 0.5 L/s,109,,,,,,,,,
q05r1,q05_1,0.5,Q = 0.5 L/s,109,,,,,,,,,
q05r2,q05_1,0.5,Q = 0.5 L/s,109,,,,,,,,,
q05r3,q05_1,0.5,Q = 0.5 L/s,109,,,,,,,,,
q05r4,q05_1,0.5,Q = 0.5 L/s,109,,,,,,,,,
q05r5,q05_1,0.5,Q = 0.5 L/s,109,,,,,,,,,
q05r6,q05_1,0.5,Q = 0.5 L/s,109,,,,,,,,,
q05r7,q05_1,0.5,Q = 0.5 L/s,109,,,,,,,,,
q05r8,q05_1,0.5,Q = 0.5 L/s,109,,,,,,,,,
q05r9,q05_1,0.5,Q = 0.5 L/s,109,,,,,,,,,
q07rgm,q07_1,0.7,Q = 0.7 L/s,74,,,,,,,,,
q07r1,q07_1,0.7,Q = 0.7 L/s,74,,,,,,,,,
q07r2,q07_1,0.7,Q = 0.7 L/s,74,,,,,,,,,
q07r3,q07_1,0.7,Q = 0.7 L/s,74,,,,,,,,,
q07r4,q07_1,0.7,Q = 0.7 L/s,74,,,,,,,,,
q07r5,q07_1,0.7,Q = 0.7 L/s,74,,,,,,,,,
q07r6,q07_1,0.7,Q = 0.7 L/s,74,,,,,,,,,
q07r7,q07_1,0.7,Q = 0.7 L/s,74,,,,,,,,,
q07r8,q07_1,0.7,Q = 0.7 L/s,74,,,,,,,,,
q07r9,q07_1,0.7,Q = 0.7 L/s,74,,,,,,,,,
q10rgm2,q10_2,1.0,Q = 1.0 L/s,48,,,,,,,,,
q10r1,q10_2,1.0,Q = 1.0 L/s,48,,,,,,,,,
q10r2,q10_2,1.0,Q = 1.0 L/s,48,,,,,,,,,
q10r3,q10_2,1.0,Q = 1.0 L/s,48,,,,,,,,,
q10r4,q10_2,1.0,Q = 1.0 L/s,48,,,,,,,,,
q10r5,q10_2,1.0,Q = 1.0 L/s,48,,,,,,,,,
q10r6,q10_2,1.0,Q = 1.0 L/s,48,,,,,,,,,
q10r7,q10_2,1.0,Q = 1.0 L/s,48,,,,,,,,,
q10r8,q10_2,1.0,Q = 1.0 L/s,48,,,,,,,,,
q10r9,q10_2,1.0,Q = 1.0 L/s,48,,,,,,,,,
q15rgm2,q15_2,1.5,Q = 1.5 L/s,30,,,,,,,,,
q15r1,q15_2,1.5,Q = 1.5 L/s,30,,,,,,,,,
q15r2,q15_2,1.5,Q = 1.5 L/s,30,,,,,,,,,
q15r3,q15_2,1.5,Q = 1.5 L/s,30,,,,,,,,,
q15r4,q15_2,1.5,Q = 1.5 L/s,30,,,,,,,,,
q15r5,q15_2,1.5,Q = 1.5 L/s,30,,,,,,,,,
q15r6,q15_2,1.5,Q = 1.5 L/s,30,,,,,,,,,
q15r7,q15_2,1.5,Q = 1.5 L/s,30,,,,,,,,,
q15r8,q15_2,1.5,Q = 1.5 L/s,30,,,,,,,,,
q15r9,q15_2,1.5,Q = 1.5 L/s,30,,,,,,,,,
q20rgm2,q20_2,2.0,Q = 2.0 L/s,20,,,,,,,,,
q20r1,q20_2,2.0,Q = 2.0 L/s,20,,,,,,,,,
q20r2,q20_2,2.0,Q = 2.0 L/s,20,,,,,,,,,
q20r3,q20_2,2.0,Q = 2.0 L/s,20,,,,,,,,,
q20r4,q20_2,2.0,Q = 2.0 L/s,20,,,,,,,,,
q20r5,q20_2,2.0,Q = 2.0 L/s,20,,,,,,,,,
q20r6,q20_2,2.0,Q = 2.0 L/s,20,,,,,,,,,
q20r7,q20_2,2.0,Q = 2.0 L/s,20,,,,,,,,,
q20r8,q20_2,2.0,Q = 2.0 L/s,20,,,,,,,,,
q20r9,q20_2,2.0,Q = 2.0 L/s,20,,,,,,,,,
